source_name,matched_name,score,method
pszczyński,powiat pszczyński,100.0,fuzzy
rybnicki,powiat rybnicki,100.0,fuzzy
bieruńsko-lędziński,powiat bieruńsko-lędziński,100.0,fuzzy
zawierciański,powiat zawierciański,100.0,fuzzy
żywiecki,powiat żywiecki,100.0,fuzzy
Bielsko-Biała,Bielsko-Biała,100.0,fuzzy
Bytom,Bytom,100.0,fuzzy
Chorzów,Chorzów,100.0,fuzzy
Częstochowa,Częstochowa,100.0,fuzzy
Dąbrowa Górnicza,Dąbrowa Górnicza,100.0,fuzzy
Gliwice,Gliwice,100.0,fuzzy
Jastrzębie-Zdrój,Jastrzębie-Zdrój,100.0,fuzzy
Jaworzno,Jaworzno,100.0,fuzzy
Katowice,Katowice,100.0,fuzzy
Mysłowice,Mysłowice,100.0,fuzzy
Piekary Śląskie,Piekary Śląskie,100.0,fuzzy
Ruda Śląska,Ruda Śląska,100.0,fuzzy
Rybnik,Rybnik,100.0,fuzzy
Siemianowice Śląskie,Siemianowice Śląskie,100.0,fuzzy
Sosnowiec,Sosnowiec,100.0,fuzzy
Świętochłowice,Świętochłowice,100.0,fuzzy
Tychy,Tychy,100.0,fuzzy
Zabrze,Zabrze,100.0,fuzzy
Żory,Żory,100.0,fuzzy
buski,powiat buski,100.0,fuzzy
jędrzejowski,powiat jędrzejowski,100.0,fuzzy
kazimierski,powiat kazimierski,100.0,fuzzy
kielecki,powiat kielecki,100.0,fuzzy
konecki,powiat konecki,100.0,fuzzy
opatowski,powiat opatowski,100.0,fuzzy
ostrowiecki,powiat ostrowiecki,100.0,fuzzy
pińczowski,powiat pińczowski,100.0,fuzzy
sandomierski,powiat sandomierski,100.0,fuzzy
skarżyski,powiat skarżyski,100.0,fuzzy
starachowicki,powiat starachowicki,100.0,fuzzy
staszowski,powiat staszowski,100.0,fuzzy
włoszczowski,powiat włoszczowski,100.0,fuzzy
Kielce,Kielce,100.0,fuzzy
bartoszycki,powiat bartoszycki,100.0,fuzzy
braniewski,powiat braniewski,100.0,fuzzy
działdowski,powiat działdowski,100.0,fuzzy
elbląski,powiat elbląski,100.0,fuzzy
ełcki,powiat ełcki,100.0,fuzzy
giżycki,powiat giżycki,100.0,fuzzy
iławski,powiat iławski,100.0,fuzzy
kętrzyński,powiat kętrzyński,100.0,fuzzy
lidzbarski,powiat lidzbarski,100.0,fuzzy
mrągowski,powiat mrągowski,100.0,fuzzy
nidzicki,powiat nidzicki,100.0,fuzzy
nowomiejski,powiat nowomiejski,100.0,fuzzy
olecki,powiat olecki,100.0,fuzzy
olsztyński,powiat olsztyński,100.0,fuzzy
ostródzki,powiat ostródzki,100.0,fuzzy
piski,powiat piski,100.0,fuzzy
szczycieński,powiat szczycieński,100.0,fuzzy
gołdapski,powiat gołdapski,100.0,fuzzy
węgorzewski,powiat węgorzewski,100.0,fuzzy
Elbląg,Elbląg,100.0,fuzzy
Olsztyn,Olsztyn,100.0,fuzzy
chodzieski,powiat chodzieski,100.0,fuzzy
czarnkowsko-trzcianecki,powiat czarnkowsko-trzcianecki,100.0,fuzzy
gnieźnieński,powiat gnieźnieński,100.0,fuzzy
gostyński,powiat gostyński,100.0,fuzzy
grodziski,powiat grodziski,100.0,fuzzy
jarociński,powiat jarociński,100.0,fuzzy
kaliski,powiat kaliski,100.0,fuzzy
kępiński,powiat kępiński,100.0,fuzzy
kolski,powiat kolski,100.0,fuzzy
koniński,powiat koniński,100.0,fuzzy
kościański,powiat kościański,100.0,fuzzy
krotoszyński,powiat krotoszyński,100.0,fuzzy
leszczyński,powiat leszczyński,100.0,fuzzy
międzychodzki,powiat międzychodzki,100.0,fuzzy
nowotomyski,powiat nowotomyski,100.0,fuzzy
obornicki,powiat obornicki,100.0,fuzzy
ostrowski,powiat ostrowski,100.0,fuzzy
ostrzeszowski,powiat ostrzeszowski,100.0,fuzzy
pilski,powiat pilski,100.0,fuzzy
pleszewski,powiat pleszewski,100.0,fuzzy
poznański,powiat poznański,100.0,fuzzy
rawicki,powiat rawicki,100.0,fuzzy
słupecki,powiat słupecki,100.0,fuzzy
szamotulski,powiat szamotulski,100.0,fuzzy
średzki,powiat średzki,100.0,fuzzy
śremski,powiat śremski,100.0,fuzzy
turecki,powiat turecki,100.0,fuzzy
wągrowiecki,powiat wągrowiecki,100.0,fuzzy
wolsztyński,powiat wolsztyński,100.0,fuzzy
wrzesiński,powiat wrzesiński,100.0,fuzzy
złotowski,powiat złotowski,100.0,fuzzy
Kalisz,Kalisz,100.0,fuzzy
Konin,Konin,100.0,fuzzy
Leszno,Leszno,100.0,fuzzy
Poznań,Poznań,100.0,fuzzy
białogardzki,powiat białogardzki,100.0,fuzzy
choszczeński,powiat choszczeński,100.0,fuzzy
drawski,powiat drawski,100.0,fuzzy
goleniowski,powiat goleniowski,100.0,fuzzy
gryficki,powiat gryficki,100.0,fuzzy
gryfiński,powiat gryfiński,100.0,fuzzy
kamieński,powiat kamieński,100.0,fuzzy
kołobrzeski,powiat brzeski,90.0,fuzzy
koszaliński,powiat koszaliński,100.0,fuzzy
myśliborski,powiat myśliborski,100.0,fuzzy
policki,powiat policki,100.0,fuzzy
pyrzycki,powiat pyrzycki,100.0,fuzzy
sławieński,powiat sławieński,100.0,fuzzy
stargardzki,powiat stargardzki,100.0,fuzzy
szczecinecki,powiat szczecinecki,100.0,fuzzy
świdwiński,powiat świdwiński,100.0,fuzzy
wałecki,powiat wałecki,100.0,fuzzy
łobeski,powiat łobeski,100.0,fuzzy
Koszalin,Koszalin,100.0,fuzzy
Szczecin,Szczecin,100.0,fuzzy
Świnoujście,Świnoujście,100.0,fuzzy
karkonoski,,-1.0,none
lipnowski,,-1.0,none
kutnowski,Kutno County,-1.0,llm
siedlecki,Siedlce,-1.0,llm
żyrardowski,Żyrardów County,-1.0,llm
statki,,-1.0,none
zagranica,,-1.0,none
gliwicki,powiat gnieźnieński,-1.0,llm
raciborski,,-1.0,none
tarnogórski,,-1.0,none
wodzisławski,Wodzisław County,-1.0,llm
